Region, Date, Frequency, Estimated Unemployment Rate (%),  Estimated Employed , Estimated Labour Participation Rate (%),Region,longitude,latitude
Andhra Pradesh, 31-01-2020, M,5.48," 16,635,535 ",41.02,South,15.9129,79.74
Andhra Pradesh, 29-02-2020, M,5.83," 16,545,652 ",40.90,South,15.9129,79.74
Andhra Pradesh, 31-03-2020, M,5.79," 15,881,197 ",39.18,South,15.9129,79.74
Andhra Pradesh, 30-04-2020, M,20.51," 11,336,911 ",33.10,South,15.9129,79.74
Andhra Pradesh, 31-05-2020, M,17.43," 12,988,845 ",36.46,South,15.9129,79.74
Andhra Pradesh, 30-06-2020, M,3.31," 19,805,400 ",47.41,South,15.9129,79.74
Andhra Pradesh, 31-07-2020, M,8.34," 15,431,615 ",38.91,South,15.9129,79.74
Andhra Pradesh, 31-08-2020, M,6.96," 15,251,776 ",37.83,South,15.9129,79.74
Andhra Pradesh, 30-09-2020, M,6.40," 15,220,312 ",37.47,South,15.9129,79.74
Andhra Pradesh, 31-10-2020, M,6.59," 15,157,557 ",37.34,South,15.9129,79.74
Assam, 31-01-2020, M,4.66," 13,051,904 ",52.98,Northeast,26.2006,92.9376
Assam, 29-02-2020, M,4.41," 10,088,268 ",40.77,Northeast,26.2006,92.9376
Assam, 31-03-2020, M,4.77," 11,542,888 ",46.73,Northeast,26.2006,92.9376
Assam, 30-04-2020, M,11.06," 6,830,817 ",29.55,Northeast,26.2006,92.9376
Assam, 31-05-2020, M,9.55," 11,367,897 ",48.26,Northeast,26.2006,92.9376
Assam, 30-06-2020, M,0.60," 9,095,944 ",35.07,Northeast,26.2006,92.9376
Assam, 31-07-2020, M,3.77," 10,286,757 ",40.88,Northeast,26.2006,92.9376
Assam, 31-08-2020, M,5.53," 9,781,310 ",39.52,Northeast,26.2006,92.9376
Assam, 30-09-2020, M,1.19," 14,107,641 ",54.38,Northeast,26.2006,92.9376
Assam, 31-10-2020, M,3.02," 11,949,329 ",46.84,Northeast,26.2006,92.9376
Bihar, 31-01-2020, M,10.61," 26,397,671 ",37.72,East,25.0961,85.3131
Bihar, 29-02-2020, M,10.29," 26,281,655 ",37.35,East,25.0961,85.3131
Bihar, 31-03-2020, M,15.43," 25,717,519 ",38.69,East,25.0961,85.3131
Bihar, 30-04-2020, M,46.64," 16,046,236 ",38.17,East,25.0961,85.3131
Bihar, 31-05-2020, M,45.96," 16,280,203 ",38.16,East,25.0961,85.3131
Bihar, 30-06-2020, M,17.82," 23,963,933 ",36.86,East,25.0961,85.3131
Bihar, 31-07-2020, M,12.79," 24,989,370 ",36.14,East,25.0961,85.3131
Bihar, 31-08-2020, M,13.44," 23,795,534 ",34.59,East,25.0961,85.3131
Bihar, 30-09-2020, M,11.91," 26,902,907 ",38.35,East,25.0961,85.3131
Bihar, 31-10-2020, M,9.82," 25,693,252 ",35.70,East,25.0961,85.3131
Chhattisgarh, 31-01-2020, M,9.65," 8,552,172 ",43.08,West,21.2787,81.8661
Chhattisgarh, 29-02-2020, M,8.38," 9,195,114 ",45.58,West,21.2787,81.8661
Chhattisgarh, 31-03-2020, M,7.54," 9,302,317 ",45.59,West,21.2787,81.8661
Chhattisgarh, 30-04-2020, M,3.41," 7,600,448 ",35.58,West,21.2787,81.8661
Chhattisgarh, 31-05-2020, M,10.50," 6,991,217 ",35.23,West,21.2787,81.8661
Chhattisgarh, 30-06-2020, M,14.23," 7,332,807 ",38.48,West,21.2787,81.8661
Chhattisgarh, 31-07-2020, M,10.27," 8,620,294 ",43.14,West,21.2787,81.8661
Chhattisgarh, 31-08-2020, M,5.63," 9,050,422 ",42.97,West,21.2787,81.8661
Chhattisgarh, 30-09-2020, M,1.96," 9,021,854 ",41.14,West,21.2787,81.8661
Chhattisgarh, 31-10-2020, M,6.62," 8,546,847 ",40.82,West,21.2787,81.8661
Delhi, 31-01-2020, M,22.23," 5,805,284 ",47.79,North,28.7041,77.1025
Delhi, 29-02-2020, M,14.84," 5,856,307 ",43.92,North,28.7041,77.1025
Delhi, 31-03-2020, M,17.04," 5,553,805 ",42.65,North,28.7041,77.1025
Delhi, 30-04-2020, M,16.68," 3,119,274 ",23.80,North,28.7041,77.1025
Delhi, 31-05-2020, M,42.27," 2,632,404 ",28.91,North,28.7041,77.1025
Delhi, 30-06-2020, M,18.19," 4,418,914 ",34.17,North,28.7041,77.1025
Delhi, 31-07-2020, M,20.30," 4,291,053 ",33.97,North,28.7041,77.1025
Delhi, 31-08-2020, M,13.79," 4,850,107 ",35.41,North,28.7041,77.1025
Delhi, 30-09-2020, M,12.53," 4,958,373 ",35.59,North,28.7041,77.1025
Delhi, 31-10-2020, M,6.27," 4,842,698 ",32.36,North,28.7041,77.1025
Goa, 31-01-2020, M,8.89," 416,750 ",35.73,West,15.2993,74.124
Goa, 29-02-2020, M,2.81," 478,068 ",38.38,West,15.2993,74.124
Goa, 31-03-2020, M,5.25," 411,761 ",33.88,West,15.2993,74.124
Goa, 30-04-2020, M,13.31," 500,614 ",44.97,West,15.2993,74.124
Goa, 31-05-2020, M,21.25," 378,244 ",37.36,West,15.2993,74.124
Goa, 30-06-2020, M,9.96," 489,111 ",42.21,West,15.2993,74.124
Goa, 31-07-2020, M,17.07," 458,876 ",42.94,West,15.2993,74.124
Goa, 31-08-2020, M,16.21," 473,016 ",43.76,West,15.2993,74.124
Goa, 30-09-2020, M,15.38," 425,004 ",38.89,West,15.2993,74.124
Goa, 31-10-2020, M,11.54," 392,304 ",34.30,West,15.2993,74.124
Gujarat, 31-01-2020, M,5.54," 24,126,346 ",48.49,West,22.2587,71.1924
Gujarat, 29-02-2020, M,6.38," 24,757,795 ",50.11,West,22.2587,71.1924
Gujarat, 31-03-2020, M,6.66," 23,566,641 ",47.75,West,22.2587,71.1924
Gujarat, 30-04-2020, M,18.71," 15,288,878 ",35.50,West,22.2587,71.1924
Gujarat, 31-05-2020, M,12.11," 17,836,936 ",38.23,West,22.2587,71.1924
Gujarat, 30-06-2020, M,3.20," 23,657,055 ",45.96,West,22.2587,71.1924
Gujarat, 31-07-2020, M,1.84," 24,276,120 ",46.41,West,22.2587,71.1924
Gujarat, 31-08-2020, M,1.87," 22,817,232 ",43.55,West,22.2587,71.1924
Gujarat, 30-09-2020, M,3.42," 25,010,199 ",48.41,West,22.2587,71.1924
Gujarat, 31-10-2020, M,4.03," 25,970,259 ",50.49,West,22.2587,71.1924
Haryana, 31-01-2020, M,20.34," 7,693,231 ",43.36,North,29.0588,76.0856
Haryana, 29-02-2020, M,25.77," 7,322,942 ",44.21,North,29.0588,76.0856
Haryana, 31-03-2020, M,25.05," 6,641,555 ",39.63,North,29.0588,76.0856
Haryana, 30-04-2020, M,43.22," 5,647,630 ",44.38,North,29.0588,76.0856
Haryana, 31-05-2020, M,29.02," 6,437,868 ",40.39,North,29.0588,76.0856
Haryana, 30-06-2020, M,26.70," 6,951,934 ",42.14,North,29.0588,76.0856
Haryana, 31-07-2020, M,24.18," 6,800,652 ",39.77,North,29.0588,76.0856
Haryana, 31-08-2020, M,33.50," 7,113,788 ",47.32,North,29.0588,76.0856
Haryana, 30-09-2020, M,19.68," 7,132,439 ",39.20,North,29.0588,76.0856
Haryana, 31-10-2020, M,27.31," 6,698,551 ",40.60,North,29.0588,76.0856
Himachal Pradesh, 31-01-2020, M,16.83," 2,287,632 ",45.50,North,31.1048,77.1734
Himachal Pradesh, 29-02-2020, M,16.84," 2,180,268 ",43.30,North,31.1048,77.1734
Himachal Pradesh, 31-03-2020, M,18.76," 2,021,858 ",41.04,North,31.1048,77.1734
Himachal Pradesh, 30-04-2020, M,2.20," 1,131,128 ",19.04,North,31.1048,77.1734
Himachal Pradesh, 31-05-2020, M,26.95," 1,897,639 ",42.70,North,31.1048,77.1734
Himachal Pradesh, 30-06-2020, M,13.47," 2,199,683 ",41.72,North,31.1048,77.1734
Himachal Pradesh, 31-07-2020, M,24.31," 2,229,456 ",48.25,North,31.1048,77.1734
Himachal Pradesh, 31-08-2020, M,15.79," 2,029,740 ",39.42,North,31.1048,77.1734
Himachal Pradesh, 30-09-2020, M,12.04," 2,237,480 ",41.54,North,31.1048,77.1734
Himachal Pradesh, 31-10-2020, M,13.46," 2,123,965 ",40.01,North,31.1048,77.1734
Jammu & Kashmir, 31-01-2020, M,21.08," 3,453,025 ",42.20,North,33.7782,76.5762
Jammu & Kashmir, 29-02-2020, M,20.78," 3,223,513 ",39.17,North,33.7782,76.5762
Jammu & Kashmir, 31-03-2020, M,15.50," 3,359,107 ",38.18,North,33.7782,76.5762
Jammu & Kashmir, 31-05-2020, M,18.74," 3,246,493 ",38.21,North,33.7782,76.5762
Jammu & Kashmir, 30-06-2020, M,17.92," 3,202,336 ",37.24,North,33.7782,76.5762
Jammu & Kashmir, 31-07-2020, M,10.88," 3,558,889 ",38.03,North,33.7782,76.5762
Jammu & Kashmir, 31-08-2020, M,11.09," 3,429,950 ",36.66,North,33.7782,76.5762
Jammu & Kashmir, 30-09-2020, M,16.17," 3,210,281 ",36.31,North,33.7782,76.5762
Jammu & Kashmir, 31-10-2020, M,16.14," 3,106,691 ",35.05,North,33.7782,76.5762
Jharkhand, 31-01-2020, M,10.61," 10,198,029 ",42.92,East,23.6102,85.2799
Jharkhand, 29-02-2020, M,11.85," 10,425,425 ",44.40,East,23.6102,85.2799
Jharkhand, 31-03-2020, M,8.23," 9,638,115 ",39.34,East,23.6102,85.2799
